type,slug,image_url,hero_image_url,portrait_url,tagline,quote,city,country,source_url
perfume,chanel-coco-mademoiselle-l-eau-privee,,,,,,,France,
perfume,antonio-maretti-almost-a-virgin,,,,,,,Italy,
perfume,adidas-uefa-champions-league-dare-edition,,,,,,,USA,
perfume,atelier-cologne-lemon-island,,,,,,,USA,
perfume,tonatto-profumi-oltre,,,,,,,Italy,
perfume,patrice-martin-mango-touch,,,,,,,France,
perfume,swiss-arabian-mukhalat-barq-2,,,,,,,UAE,
perfume,alexandria-fragrances-invidia,,,,,,,USA,
perfume,cartier-declaration,,,,,,,France,
perfume,betty-barclay-sheer-delight,,,,,,,Germany,
perfume,gritti-jacqueline,,,,,,,Italy,
perfume,avon-today-tomorrow-always-diamond,,,,,,,USA,
perfume,granado-boemia,,,,,,,Brazil,
perfume,lattafa-perfumes-oud-mood-elixir,,,,,,,UAE,
perfume,zara-vibrant-leather-boise,,,,,,,Spain,
perfume,avon-instinct-forbidden,,,,,,,USA,
perfume,xerjoff-lua,,,,,,,Italy,
perfume,faberlic-charmante,,,,,,,Russia,
perfume,bi-es-paradise-flowers,,,,,,,Poland,
perfume,bill-blass-amazing,,,,,,,USA,
perfume,faberlic-kaori,,,,,,,Russia,
perfume,dana-black-lace,,,,,,,USA,
perfume,contradictions-in-ilk-realist,,,,,,,UK,
perfume,maissa-parfums-symphonie-d-amour,,,,,,,Lebanon,
perfume,faberlic-fortunata,,,,,,,Russia,
perfume,o-boticario-egeo-bomb-purple,,,,,,,Brazil,
perfume,m-int-refocus,,,,,,,Italy,
perfume,jovoy-paris-fougere,,,,,,,France,
perfume,avon-homme,,,,,,,USA,
perfume,avon-secret-fantasy-kiss,,,,,,,USA,
perfume,chopard-vanille-malika,,,,,,,Switzerland,
perfume,brocard-casual-2-oksana-robski,,,,,,,Russia,
perfume,oriflame-glacier,,,,,,,Sweden,
perfume,hugo-boss-boss-bottled-20th-anniversary-edition,,,,,,,Germany,
perfume,les-liquides-imaginaires-liquide-2020,,,,,,,France,
perfume,id-parfums-jardin-de-bali,,,,,,,France,
perfume,clean-clean-fragrance,,,,,,,USA,
perfume,oriflame-born-to-fly-for-her,,,,,,,Sweden,
perfume,kenzo-kenzo-world,,,,,,,France,
perfume,maison-martin-margiela-under-the-stars,,,,,,,France,
perfume,oriflame-leader,,,,,,,Sweden,
perfume,liu-jo-lovely-me,,,,,,,Italy,
perfume,brocard-the-queen-of-spades-classic,,,,,,,Russia,
perfume,granado-bossa,,,,,,,Brazil,
perfume,sergio-tacchini-donna-blooming-flowers,,,,,,,Italy,
perfume,il-profvmo-osmo-scents-encens-epice,,,,,,,Italy,
perfume,bottega-verde-gelsomino-notturno,,,,,,,Italy,
perfume,jacques-fath-rosso-epicureo,,,,,,,France,
perfume,nest-passiflora,,,,,,,USA,
perfume,brocard-berriessence,,,,,,,Russia,
perfume,cosmogony-morning-star,,,,,,,Russia,
perfume,m-micallef-gntonic,,,,,,,France,
perfume,fueguia-1833-corvina-negra,,,,,,,Argentina,
perfume,lattafa-perfumes-lail-maleki,,,,,,,UAE,
perfume,oriflame-ice,,,,,,,Sweden,
perfume,les-parfums-de-rosine-bois-fuchsia,,,,,,,France,
perfume,salvatore-ferragamo-signorina-unica,,,,,,,Italy,
perfume,avon-powerful-flowers-lila,,,,,,,USA,
perfume,oriflame-chiffon,,,,,,,Sweden,
perfume,calvin-klein-ck-free-blue,,,,,,,USA,
perfume,avon-v-for-victory-gold,,,,,,,USA,
perfume,lush-guardian-of-the-forest,,,,,,,UK,
perfume,benetton-united-colors-of-benetton-woman,,,,,,,Italy,
perfume,antonio-banderas-cocktail-seduction-blue-for-women,,,,,,,USA,
perfume,nest-amazon-lily,,,,,,,USA,
perfume,mexx-xx-very-nice,,,,,,,Netherlands,
perfume,bourjois-glamour-fantasy,,,,,,,France,
perfume,cafe-parfums-cafe-green,,,,,,,France,
perfume,verset-parfums-dana,,,,,,,UK,
perfume,house-of-sillage-ravenclaw-parfum,,,,,,,USA,
perfume,dossier-fruity-almond,,,,,,,USA,
perfume,ladanika-the-bell-chime-kolokol-nyj-zvon,,,,,,,Russia,
perfume,la-rive-dream,,,,,,,Poland,
perfume,emanuel-ungaro-apparition-pink,,,,,,,France,
perfume,skylar-peach-fields,,,,,,,USA,
perfume,police-contemporary,,,,,,,Italy,
perfume,clean-lush-fleur,,,,,,,USA,
perfume,avon-avon-beautiful-butterfly,,,,,,,USA,
perfume,alyssa-ashley-ocean-blue,,,,,,,USA,
perfume,al-rehab-pink-breeze,,,,,,,Arabia saudi,
perfume,nina-ricci-l-air-du-temps-cristal-d-or,,,,,,,France,
perfume,faberlic-cristal,,,,,,,Russia,
perfume,natura-kriska,,,,,,,Brazil,
perfume,oriflame-city-jungle,,,,,,,Sweden,
perfume,faberlic-bel-ange,,,,,,,Russia,
perfume,o-boticario-quasar-rush,,,,,,,Brazil,
perfume,desigual-love,,,,,,,Spain,
perfume,faberlic-collection-privee-alizes,,,,,,,Russia,
perfume,diesel-diesel-green-masculine-special-edition,,,,,,,Italy,
perfume,women-secret-apple-temptation,,,,,,,Spain,
perfume,ellis-brooklyn-raven,,,,,,,USA,
